obs_id,tobs,rv,rverr,exptime,airmass,expcount,snr
231014.5066,2023-10-14 14:10:59,120.524,15.594,200,7.961,992669,288
231014.5067,2023-10-14 14:14:06,10.908,16.134,151,7.278,1041763,295
231014.5068,2023-10-14 14:17:04,8.317,15.589,142,6.778,1037284,294
231014.5069,2023-10-14 14:19:54,8.566,14.764,136,6.362,1044210,295
231014.5071,2023-10-14 14:23:59,5.046,14.092,128,5.848,1042401,295
231014.5072,2023-10-14 14:26:38,5.622,13.772,123,5.559,1038770,294
231014.5073,2023-10-14 14:29:11,4.737,13.129,120,5.306,1038176,294
231014.5074,2023-10-14 14:31:41,4.074,13.104,117,5.081,1041693,295
231014.5075,2023-10-14 14:34:09,3.518,12.802,114,4.878,1040061,294
231014.5076,2023-10-14 14:36:33,4.015,12.552,112,4.696,1046561,295
231014.5077,2023-10-14 14:38:56,3.992,12.157,109,4.529,1040129,294
231014.5078,2023-10-14 14:41:16,3.969,11.814,106,4.377,1038298,294
231014.5079,2023-10-14 14:43:33,2.898,11.795,105,4.238,1044731,295
231014.508,2023-10-14 14:45:49,3.462,11.867,103,4.109,1040367,294
231014.5082,2023-10-14 14:49:17,3.614,11.582,101,3.928,1047818,295
231014.5083,2023-10-14 14:51:29,3.823,11.572,99,3.821,1042178,295
231014.5084,2023-10-14 14:53:39,3.064,11.459,98,3.723,1045635,295
231014.5085,2023-10-14 14:55:48,3.787,11.237,96,3.630,1041335,295
231014.5086,2023-10-14 14:57:56,3.873,11.297,96,3.543,1049068,296
231014.5087,2023-10-14 15:00:03,4.300,11.157,94,3.460,1041889,295
231014.5088,2023-10-14 15:02:09,2.790,10.939,94,3.383,1049299,296
231014.5089,2023-10-14 15:04:15,4.216,10.994,92,3.309,1041733,295
231014.509,2023-10-14 15:06:19,2.262,10.935,91,3.240,1047891,296
231014.5091,2023-10-14 15:08:22,3.322,10.756,90,3.175,1044778,295
231014.5093,2023-10-14 15:11:40,0.996,10.648,89,3.075,1042870,295
231014.5094,2023-10-14 15:13:41,-6.726,10.285,89,3.018,1042263,295
231014.5095,2023-10-14 15:15:43,-17.783,10.142,89,2.963,1047281,295
231014.5096,2023-10-14 15:17:45,-34.043,10.569,89,2.909,1042442,295
231014.5097,2023-10-14 15:19:45,-49.100,10.161,90,2.859,1042417,295
231014.5098,2023-10-14 15:21:48,-69.591,10.734,91,2.810,1045407,295
231014.5099,2023-10-14 15:23:51,-89.601,10.922,92,2.762,1049289,296
231014.51,2023-10-14 15:25:56,-114.652,10.726,92,2.716,1039457,294
231014.5101,2023-10-14 15:28:00,-138.041,10.449,94,2.672,1044184,295
231014.5102,2023-10-14 15:30:06,-165.082,10.676,95,2.629,1040966,295
231014.5103,2023-10-14 15:32:14,-193.614,11.369,97,2.586,1048723,296
231014.5104,2023-10-14 15:34:25,-224.780,11.394,99,2.545,1047723,295
231014.5105,2023-10-14 15:36:37,-255.242,11.453,101,2.505,1046585,295
231014.5106,2023-10-14 15:38:53,-288.548,11.531,104,2.465,1044069,295
231014.5107,2023-10-14 15:41:09,-321.597,11.279,107,2.426,1041186,295
231014.5108,2023-10-14 15:43:29,-357.866,11.993,111,2.388,1039921,294
231014.5109,2023-10-14 15:45:53,-394.574,11.695,115,2.351,1038015,294
231014.511,2023-10-14 15:48:23,-432.637,11.822,121,2.313,1042435,295
231014.5111,2023-10-14 15:51:00,-472.795,11.653,128,2.276,1044814,295
231014.5112,2023-10-14 15:53:43,-512.958,11.986,135,2.238,1042291,295
231014.5114,2023-10-14 15:57:47,-572.628,12.082,149,2.185,1042671,295
