filename,obsdate,exptime,obsmode,obstype,program,piname,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flaggedval
neidL2_20240408T223016.fits,2024-04-08 22:30:16,55.000218,hr,Eng,2024A-2002,Mahadevan,41.2342,0.0,2460409.43307508,-0.6989,3.0E-4,v1.3.0,293.8488,
neidL2_20240408T222853.fits,2024-04-08 22:28:53,55.000214,hr,Eng,2024A-2002,Mahadevan,41.5089,0.0,2460409.43206418,-0.6485,3.0E-4,v1.3.0,385.7313,
neidL2_20240408T222730.fits,2024-04-08 22:27:30,55.000086,hr,Eng,2024A-2002,Mahadevan,41.7831,0.0,2460409.43110968,-0.6481,3.0E-4,v1.3.0,390.7944,
neidL2_20240408T222607.fits,2024-04-08 22:26:07,55.000209,hr,Eng,2024A-2002,Mahadevan,42.0569,0.0,2460409.43015085,-0.6489,3.0E-4,v1.3.0,391.2496,
neidL2_20240408T222445.fits,2024-04-08 22:24:45,55.000153,hr,Eng,2024A-2002,Mahadevan,42.3301,0.0,2460409.42919448,-0.6502,3.0E-4,v1.3.0,391.5603,
neidL2_20240408T222322.fits,2024-04-08 22:23:22,55.000156,hr,Eng,2024A-2002,Mahadevan,42.6029,0.0,2460409.42823748,-0.6472,3.0E-4,v1.3.0,391.4319,
neidL2_20240408T222159.fits,2024-04-08 22:21:59,55.000487,hr,Eng,2024A-2002,Mahadevan,42.8751,0.0,2460409.42728067,-0.6466,3.0E-4,v1.3.0,392.4789,
neidL2_20240408T222037.fits,2024-04-08 22:20:37,55.00007,hr,Eng,2024A-2002,Mahadevan,43.1468,0.0,2460409.42632399,-0.65,3.0E-4,v1.3.0,392.5997,
neidL2_20240408T221914.fits,2024-04-08 22:19:14,55.000019,hr,Eng,2024A-2002,Mahadevan,43.418,0.0,2460409.42536702,-0.6503,3.0E-4,v1.3.0,392.3761,
neidL2_20240408T221751.fits,2024-04-08 22:17:51,55.007085,hr,Eng,2024A-2002,Mahadevan,43.6886,0.0,2460409.42442745,-0.7004,3.0E-4,v1.3.0,345.6655,
neidL2_20240408T221629.fits,2024-04-08 22:16:29,54.99986,hr,Eng,2024A-2002,Mahadevan,43.9586,0.0,2460409.42344398,-0.6525,3.0E-4,v1.3.0,318.5067,
neidL2_20240408T221506.fits,2024-04-08 22:15:06,54.999667,hr,Eng,2024A-2002,Mahadevan,44.2281,0.0,2460409.42249527,-0.6486,3.0E-4,v1.3.0,391.8972,
neidL2_20240408T221343.fits,2024-04-08 22:13:43,54.999843,hr,Eng,2024A-2002,Mahadevan,44.497,0.0,2460409.42153808,-0.6494,3.0E-4,v1.3.0,394.0768,
neidL2_20240408T221221.fits,2024-04-08 22:12:21,55.000167,hr,Eng,2024A-2002,Mahadevan,44.7654,0.0,2460409.42058211,-0.6478,3.0E-4,v1.3.0,393.666,
neidL2_20240408T221058.fits,2024-04-08 22:10:58,55.000239,hr,Eng,2024A-2002,Mahadevan,45.0331,0.0,2460409.41962547,-0.649,3.0E-4,v1.3.0,394.3988,
neidL2_20240408T220935.fits,2024-04-08 22:09:35,54.999858,hr,Eng,2024A-2002,Mahadevan,45.3002,0.0,2460409.41866819,-0.6487,3.0E-4,v1.3.0,393.9113,
neidL2_20240408T220813.fits,2024-04-08 22:08:13,55.000877,hr,Eng,2024A-2002,Mahadevan,45.5666,0.0,2460409.41769789,-0.6581,3.0E-4,v1.3.0,386.0852,
neidL2_20240408T220650.fits,2024-04-08 22:06:50,54.999828,hr,Eng,2024A-2002,Mahadevan,45.8324,0.0,2460409.41675352,-0.6486,3.0E-4,v1.3.0,395.7534,
neidL2_20240408T220527.fits,2024-04-08 22:05:27,54.999915,hr,Eng,2024A-2002,Mahadevan,46.0976,0.0,2460409.41579749,-0.6487,3.0E-4,v1.3.0,396.7918,
neidL2_20240408T220405.fits,2024-04-08 22:04:05,55.00018,hr,Eng,2024A-2002,Mahadevan,46.3621,0.0,2460409.41484074,-0.6473,3.0E-4,v1.3.0,395.3452,
neidL2_20240408T220242.fits,2024-04-08 22:02:42,55.000014,hr,Eng,2024A-2002,Mahadevan,46.6259,0.0,2460409.41388312,-0.6478,3.0E-4,v1.3.0,396.8621,
neidL2_20240408T220119.fits,2024-04-08 22:01:19,55.000378,hr,Eng,2024A-2002,Mahadevan,46.889,0.0,2460409.41292559,-0.65,3.0E-4,v1.3.0,396.4043,
neidL2_20240408T215957.fits,2024-04-08 21:59:57,55.00002,hr,Eng,2024A-2002,Mahadevan,47.1514,0.0,2460409.4119692,-0.6493,3.0E-4,v1.3.0,396.7667,
neidL2_20240408T215834.fits,2024-04-08 21:58:34,54.999522,hr,Eng,2024A-2002,Mahadevan,47.413,0.0,2460409.41101216,-0.6474,3.0E-4,v1.3.0,396.0772,
neidL2_20240408T215711.fits,2024-04-08 21:57:11,55.000144,hr,Eng,2024A-2002,Mahadevan,47.674,0.0,2460409.41005602,-0.648,3.0E-4,v1.3.0,396.4194,
neidL2_20240408T215549.fits,2024-04-08 21:55:49,55.000089,hr,Eng,2024A-2002,Mahadevan,47.9341,0.0,2460409.40909741,-0.6495,3.0E-4,v1.3.0,395.7615,
neidL2_20240408T215426.fits,2024-04-08 21:54:26,54.999857,hr,Eng,2024A-2002,Mahadevan,48.1935,0.0,2460409.40814133,-0.649,3.0E-4,v1.3.0,396.5421,
neidL2_20240408T215303.fits,2024-04-08 21:53:03,55.000058,hr,Eng,2024A-2002,Mahadevan,48.4521,0.0,2460409.40718387,-0.6484,3.0E-4,v1.3.0,393.7815,
neidL2_20240408T215140.fits,2024-04-08 21:51:40,55.000162,hr,Eng,2024A-2002,Mahadevan,48.7099,0.0,2460409.40622703,-0.6482,3.0E-4,v1.3.0,395.3962,
neidL2_20240408T215018.fits,2024-04-08 21:50:18,55.0002,hr,Eng,2024A-2002,Mahadevan,48.9669,0.0,2460409.40527097,-0.6482,3.0E-4,v1.3.0,395.576,
neidL2_20240408T214855.fits,2024-04-08 21:48:55,54.999995,hr,Eng,2024A-2002,Mahadevan,49.2231,0.0,2460409.40431299,-0.6488,3.0E-4,v1.3.0,396.2706,
neidL2_20240408T214732.fits,2024-04-08 21:47:32,54.999019,hr,Eng,2024A-2002,Mahadevan,49.4783,0.0,2460409.403357,-0.6491,3.0E-4,v1.3.0,397.0437,
neidL2_20240408T214610.fits,2024-04-08 21:46:10,55.00059,hr,Eng,2024A-2002,Mahadevan,49.7328,0.0,2460409.40239982,-0.6482,3.0E-4,v1.3.0,397.1135,
neidL2_20240408T214447.fits,2024-04-08 21:44:47,55.000135,hr,Eng,2024A-2002,Mahadevan,49.9863,0.0,2460409.40144282,-0.6473,3.0E-4,v1.3.0,396.8915,
neidL2_20240408T214324.fits,2024-04-08 21:43:24,54.999901,hr,Eng,2024A-2002,Mahadevan,50.2389,0.0,2460409.40048489,-0.6489,3.0E-4,v1.3.0,398.0008,
neidL2_20240408T214202.fits,2024-04-08 21:42:02,55.000184,hr,Eng,2024A-2002,Mahadevan,50.4906,0.0,2460409.39952871,-0.6491,3.0E-4,v1.3.0,397.6835,
neidL2_20240408T214039.fits,2024-04-08 21:40:39,55.000038,hr,Eng,2024A-2002,Mahadevan,50.7413,0.0,2460409.39857199,-0.6485,3.0E-4,v1.3.0,398.5273,
neidL2_20240408T213916.fits,2024-04-08 21:39:16,55.000311,hr,Eng,2024A-2002,Mahadevan,50.9911,0.0,2460409.39761452,-0.6474,3.0E-4,v1.3.0,399.21,
neidL2_20240408T213754.fits,2024-04-08 21:37:54,55.000066,hr,Eng,2024A-2002,Mahadevan,51.2399,0.0,2460409.39665774,-0.6489,3.0E-4,v1.3.0,398.9873,
neidL2_20240408T213631.fits,2024-04-08 21:36:31,54.999738,hr,Eng,2024A-2002,Mahadevan,51.4876,0.0,2460409.39570028,-0.6505,3.0E-4,v1.3.0,400.6995,
neidL2_20240408T213508.fits,2024-04-08 21:35:08,55.000213,hr,Eng,2024A-2002,Mahadevan,51.7344,0.0,2460409.39474442,-0.6488,3.0E-4,v1.3.0,398.8287,
neidL2_20240408T213346.fits,2024-04-08 21:33:46,55.000227,hr,Eng,2024A-2002,Mahadevan,51.9801,0.0,2460409.39378582,-0.6469,3.0E-4,v1.3.0,398.5083,
neidL2_20240408T213223.fits,2024-04-08 21:32:23,55.001232,hr,Eng,2024A-2002,Mahadevan,52.2247,0.0,2460409.39283065,-0.6485,3.0E-4,v1.3.0,398.0778,
neidL2_20240408T213100.fits,2024-04-08 21:31:00,55.000253,hr,Eng,2024A-2002,Mahadevan,52.4682,0.0,2460409.39187468,-0.6485,3.0E-4,v1.3.0,395.6295,
neidL2_20240408T212938.fits,2024-04-08 21:29:38,55.000381,hr,Eng,2024A-2002,Mahadevan,52.7106,0.0,2460409.39091584,-0.6472,3.0E-4,v1.3.0,391.3849,
neidL2_20240408T212815.fits,2024-04-08 21:28:15,55.000104,hr,Eng,2024A-2002,Mahadevan,52.9519,0.0,2460409.38995895,-0.6482,3.0E-4,v1.3.0,396.216,
neidL2_20240408T212652.fits,2024-04-08 21:26:52,55.000366,hr,Eng,2024A-2002,Mahadevan,53.192,0.0,2460409.38900145,-0.6493,3.0E-4,v1.3.0,397.8678,
neidL2_20240408T212530.fits,2024-04-08 21:25:30,54.999671,hr,Eng,2024A-2002,Mahadevan,53.4309,0.0,2460409.38804561,-0.6492,3.0E-4,v1.3.0,398.1472,
neidL2_20240408T212407.fits,2024-04-08 21:24:07,55.000217,hr,Eng,2024A-2002,Mahadevan,53.6686,0.0,2460409.38708783,-0.648,3.0E-4,v1.3.0,398.8114,
neidL2_20240408T212244.fits,2024-04-08 21:22:44,54.999781,hr,Eng,2024A-2002,Mahadevan,53.9051,0.0,2460409.38613086,-0.6483,3.0E-4,v1.3.0,398.3125,
neidL2_20240408T212121.fits,2024-04-08 21:21:21,55.000061,hr,Eng,2024A-2002,Mahadevan,54.1403,0.0,2460409.3851749,-0.6499,3.0E-4,v1.3.0,400.7136,
neidL2_20240408T211959.fits,2024-04-08 21:19:59,55.000058,hr,Eng,2024A-2002,Mahadevan,54.3742,0.0,2460409.38421836,-0.6485,3.0E-4,v1.3.0,399.4663,
